belongs_to_collection,id_movie,language_abrev,language_movie
116661,10547,en,English
303969,77771,ar,العربية
303969,77771,fr,Français
303969,77771,wo,Wolof
424202,627,en,English
304378,602,en,English
97456,10545,la,Latin
97456,10545,en,English
86028,9327,en,English
224478,12606,en,English
9436,10546,en,English
9436,10546,de,Deutsch
115142,9431,en,English
115142,9431,es,Español
115838,10061,en,English
230,238,en,English
230,238,it,Italiano
230,238,la,Latin
269098,11134,cn,广州话 / 廣州話
269098,11134,en,English
269098,11134,ms,Bahasa melayu
269098,11134,th,ภาษาไทย
269098,38955,cn,广州话 / 廣州話
19163,19004,en,English
91361,10987,en,English
4438,62,en,English
4438,62,ru,Pусский
47814,3529,en,English
261590,10331,en,English
242765,39448,cn,广州话 / 廣州話
242765,39448,en,English
10709,10680,en,English
87232,18660,en,English
87232,18660,de,Deutsch
181496,35115,es,Español
181496,35115,en,English
90348,14821,en,English
12087,14136,es,Español
12087,14136,en,English
12087,14136,cn,广州话 / 廣州話
12087,10869,en,English
216395,19186,en,English
43058,6878,en,English
294519,15944,en,English
55419,11224,en,English
271668,15947,en,English
271668,15947,pt,Português
271668,15947,es,Español
100970,10948,en,English
355490,11229,en,English
1570,562,en,English
1570,562,de,Deutsch
1570,562,it,Italiano
124935,10163,en,English
86027,11238,en,English
86058,88,en,English
118221,8491,en,English
86336,402,en,English
115225,25750,en,English
937,11843,en,English
115838,1103,en,English
174218,11298,en,English
39460,4480,it,Italiano
39460,4480,fr,Français
39460,4481,fr,Français
529,531,en,English
153948,36555,en,English
33071,11455,en,English
10,1891,en,English
84,85,en,English
84,85,es,Español
84,85,de,Deutsch
84,85,he,עִבְרִית
84,85,ar,العربية
84,85,ne,
8091,679,en,English
48317,429,it,Italiano
10,1892,en,English
8091,348,en,English
8091,348,es,Español
1960,766,en,English
119674,539,en,English
112636,525,en,English
230,240,en,English
230,240,it,Italiano
230,240,la,Latin
230,240,es,Español
529,530,en,English
330605,9277,en,English
528,218,en,English
359005,829,es,Español
359005,829,cn,广州话 / 廣州話
359005,829,en,English
1960,765,en,English
264,105,en,English
8050,8009,en,English
55427,756,en,English
173344,11314,en,English
84,89,de,Deutsch
84,89,el,ελληνικά
84,89,en,English
8091,8077,en,English
397842,41671,en,English
397842,41671,pt,Português
397842,27214,en,English
397842,52263,en,English
397842,33519,en,English
397842,16235,en,English
397842,11449,en,English
397842,41848,en,English
397842,41848,it,Italiano
422193,8851,en,English
218406,229,en,English
98580,9529,en,English
257053,7340,en,English
8581,377,en,English
10919,794,en,English
10919,794,it,Italiano
10919,794,la,Latin
498,145,en,English
115570,199,en,English
307637,9279,en,English
105629,17204,en,English
124916,11674,en,English
1570,1573,en,English
1570,1573,es,Español
151,152,en,English
151,174,en,English
151,172,en,English
151,154,en,English
151,157,en,English
151,157,ru,Pусский
151,168,en,English
151,168,fi,suomi
120794,364,en,English
9329,11967,en,English
9329,9086,en,English
86083,621,en,English
86083,9037,en,English
112399,8845,en,English
2366,578,en,English
2366,579,en,English
2366,17692,en,English
2602,4232,en,English
166379,34314,en,English
269098,9404,en,English
269098,9404,ru,Pусский
269098,9404,uk,Український
269098,9404,zh,普通话
269098,9404,cn,广州话 / 廣州話
393564,14908,en,English
108693,11419,en,English
86224,10003,en,English
86224,10003,ru,Pусский
207952,11844,en,English
286162,6499,en,English
105995,9360,en,English
1006,816,en,English
174407,49478,en,English
174407,49478,zh,普通话
259398,1811,en,English
328,330,en,English
331475,33660,en,English
43064,1639,en,English
43064,1639,pt,Português
120794,415,en,English
182923,17991,ja,日本語
86055,607,en,English
86055,607,es,Español
43055,9387,en,English
126221,10603,en,English
126221,10603,es,Español
97445,20737,en,English
9328,18519,cs,Český
9328,18519,en,English
10721,4961,en,English
10721,4961,it,Italiano
192492,1669,en,English
192492,1669,ru,Pусский
142680,9437,en,English
142680,9437,zh,普通话
135489,10351,en,English
3601,3597,en,English
103372,1281,en,English
10522,563,en,English
9818,9823,en,English
8091,8078,en,English
372479,42832,fr,Français
9888,9714,pl,Polski
9888,9714,en,English
2602,4233,en,English
645,714,de,Deutsch
645,714,en,English
645,714,da,Dansk
645,714,zh,普通话
645,714,cn,广州话 / 廣州話
351886,9922,en,English
351886,9922,fr,Français
71458,32302,en,English
71458,32302,fr,Français
71458,32302,de,Deutsch
9068,9033,en,English
9068,9033,de,Deutsch
112636,11568,ru,Pусский
112636,11568,en,English
134011,11808,en,English
33059,617,en,English
350402,17644,en,English
221966,27472,es,Español
221966,27472,en,English
9887,10216,en,English
97771,9771,en,English
97771,9771,it,Italiano
378453,37410,en,English
87236,10674,en,English
87236,10674,zh,普通话
19387,846,en,English
3169,3050,en,English
945,944,en,English
945,944,cn,广州话 / 廣州話
945,944,zh,普通话
155474,1051,en,English
155474,1051,fr,Français
1575,1366,en,English
8581,10014,en,English
8581,10072,en,English
8581,10131,en,English
8581,10160,en,English
8581,11284,en,English
9735,4488,en,English
9735,9725,en,English
9735,9728,en,English
9735,9730,en,English
9735,9730,es,Español
9735,9731,en,English
9735,10225,en,English
9735,10281,en,English
9735,10283,en,English
91361,948,en,English
91361,11281,en,English
91361,10676,en,English
91361,11357,en,English
91361,11361,en,English
123255,36599,en,English
123255,39929,en,English
123255,41828,en,English
123255,41769,en,English
10455,10585,en,English
10455,11186,en,English
10455,11186,tr,Türkçe
10455,11187,cs,Český
10455,11187,en,English
10453,609,en,English
10453,11133,en,English
10453,10306,en,English
12263,9552,de,Deutsch
12263,9552,fr,Français
12263,9552,la,Latin
12263,9552,ar,العربية
12263,9552,el,ελληνικά
12263,9552,en,English
12263,11586,en,English
12263,11586,fr,Français
12263,11586,es,Español
12263,11587,en,English
12263,11587,it,Italiano
945,941,en,English
945,942,en,English
945,942,af,Afrikaans
945,943,en,English
89151,927,en,English
89151,927,es,Español
89151,928,en,English
1657,9342,en,English
264,165,en,English
264,196,en,English
372257,551,en,English
294468,17984,en,English
87232,22328,en,English
87250,3170,en,English
230,242,en,English
230,242,it,Italiano
230,242,de,Deutsch
230,242,la,Latin
297143,29228,en,English
10709,11164,en,English
10709,11164,is,Íslenska
12087,12129,es,Español
12087,12129,en,English
12087,14140,fr,Français
12087,14140,en,English
72119,11158,en,English
72119,9354,en,English
97459,9325,en,English
97460,10340,en,English
33085,10144,en,English
33085,10144,fr,Français
10709,10414,en,English
256377,10437,en,English
100693,12230,en,English
55422,10693,en,English
57971,11135,da,Dansk
57971,11135,en,English
57971,11135,ko,한국어/조선말
57971,11135,no,Norsk
57971,11135,sv,svenska
57971,11319,en,English
90348,14822,en,English
86027,15969,en,English
294519,15943,en,English
294519,15943,de,Deutsch
294468,19762,en,English
248126,2619,en,English
248126,2619,it,Italiano
63043,97,en,English
91361,11675,en,English
84,87,en,English
84,87,si,
141290,123,en,English
115225,10823,en,English
115225,10823,pt,Português
115225,10823,es,Español
140910,11497,en,English
11716,2907,en,English
141292,11704,en,English
8783,4978,en,English
8783,10380,en,English
102782,11415,en,English
102782,37530,cs,Český
102782,37530,en,English
87805,8393,af,Afrikaans
87805,8393,en,English
87805,11937,af,Afrikaans
87805,11937,en,English
97445,21661,en,English
143755,39930,en,English
143755,10692,en,English
264338,805,en,English
91430,34584,en,English
91430,34636,en,English
91430,34636,de,Deutsch
47983,2182,en,English
735,36647,ru,Pусский
735,36647,en,English
432,431,de,Deutsch
432,431,en,English
90863,2109,en,English
52760,9877,en,English
52760,9877,it,Italiano
479888,1091,en,English
479888,1091,no,Norsk
4438,4437,en,English
4438,4437,ru,Pусский
10455,11932,en,English
348843,9945,en,English
348843,9945,la,Latin
100286,4518,fr,Français
100286,4518,en,English
3601,3600,en,English
374384,12223,en,English
57129,14444,en,English
374509,1678,ja,日本語
374511,39256,en,English
374511,39256,ja,日本語
374511,39256,ru,Pусский
374509,1680,ja,日本語
135495,244,en,English
135498,10730,en,English
135498,31947,en,English
104833,9749,en,English
104833,14628,en,English
43055,9626,en,English
645,707,en,English
9338,9336,en,English
9338,10157,en,English
9338,12118,en,English
9338,10587,en,English
9338,11825,en,English
9338,11895,en,English
9435,9447,en,English
115570,200,en,English
5039,1369,en,English
5039,1369,vi,Tiếng Việt
5039,1368,en,English
5039,1370,en,English
5039,1370,ru,Pусский
89264,10303,ar,العربية
89264,10303,en,English
89264,9326,fr,Français
89264,9326,en,English
89264,9326,es,Español
86307,10328,en,English
86307,11285,en,English
1575,1367,en,English
1575,1371,en,English
1575,1374,en,English
1575,1375,en,English
8580,1885,en,English
8580,8856,en,English
8580,10495,en,English
108693,5825,en,English
340623,6917,en,English
340623,40729,en,English
123213,11815,en,English
123213,11815,fr,Français
109609,9426,en,English
109609,10344,en,English
109609,10344,pl,Polski
111751,30497,en,English
111751,16337,en,English
111751,25018,en,English
111751,16780,en,English
9332,9671,en,English
9332,9396,en,English
387219,11873,en,English
387219,11873,es,Español
387618,8224,en,English
10789,8913,en,English
10789,10906,en,English
115225,25748,en,English
115225,25749,en,English
33938,10671,it,Italiano
33938,10671,en,English
33938,27932,en,English
33938,27932,hu,Magyar
33938,7227,en,English
33938,7227,hu,Magyar
124934,33518,en,English
166698,2362,en,English
1709,871,en,English
1709,1685,en,English
1709,1705,en,English
1709,1688,en,English
1709,1687,en,English
33938,29723,en,English
33938,29723,fr,Français
33938,29723,es,Español
372257,31638,en,English
110127,9535,en,English
52789,796,vi,Tiếng Việt
52789,796,en,English
52789,796,fr,Français
257053,7341,en,English
2344,603,en,English
1733,564,en,English
1733,564,ar,العربية
205860,9460,cn,广州话 / 廣州話
205860,9460,en,English
10,1893,en,English
221544,15849,ar,العربية
221544,15849,en,English
221544,15849,fr,Français
138965,18990,en,English
138965,18990,de,Deutsch
221544,29242,en,English
221544,29243,en,English
221544,31498,en,English
221544,29239,en,English
8537,1924,en,English
8537,8536,en,English
8537,9531,en,English
8537,9531,it,Italiano
8537,9531,es,Español
8537,9531,th,ภาษาไทย
8537,11411,en,English
8537,11411,fr,Français
8537,11411,it,Italiano
8537,11411,ru,Pусский
8537,11411,th,ภาษาไทย
221539,138,en,English
221539,138,de,Deutsch
221539,138,hu,Magyar
221539,30793,en,English
218406,3103,en,English
218406,3103,es,Español
218406,3035,en,English
218406,3077,en,English
218406,3074,en,English
259027,3076,en,English
123720,3079,en,English
221539,32023,en,English
259027,13666,en,English
174218,29794,en,English
281644,36685,en,English
87228,17918,en,English
1006,817,de,Deutsch
1006,817,en,English
106768,37135,en,English
2806,2105,en,English
104068,10239,fr,Français
256377,10208,en,English
64750,2667,en,English
97768,9825,en,English
2980,620,en,English
2980,2978,en,English
237445,332,en,English
237445,332,no,Norsk
237445,332,fr,Français
237445,332,es,Español
185682,147,en,English
185682,147,fr,Français
135502,9710,en,English
10919,10766,en,English
10919,10768,en,English
91663,813,en,English
91663,2665,en,English
108693,11418,en,English
108693,11153,en,English
180854,11077,en,English
180854,11077,it,Italiano
180854,28597,en,English
180854,28597,it,Italiano
180854,28597,pt,Português
201873,850,en,English
10713,10366,en,English
10713,9349,en,English
123251,11037,nl,Nederlands
123251,11037,en,English
123251,11955,en,English
123251,2038,en,English
123251,28737,en,English
189295,91893,de,Deutsch
143757,11601,en,English
98168,11797,en,English
98168,18086,en,English
146136,10975,cn,广州话 / 廣州話
146136,10974,cn,广州话 / 廣州話
47770,9638,en,English
119674,10576,en,English
119674,12662,en,English
12203,11230,cn,广州话 / 廣州話
124492,1654,la,Latin
124492,1654,en,English
124492,1654,de,Deutsch
124492,1654,fr,Français
124492,1654,es,Español
645,658,zh,普通话
645,658,en,English
645,658,es,Español
645,657,en,English
645,657,ru,Pусский
645,657,tr,Türkçe
645,657,ro,Română
645,646,en,English
645,646,fr,Français
59586,5689,en,English
48317,391,it,Italiano
48317,391,es,Español
9888,772,en,English
9888,772,fr,Français
380822,65448,en,English
380822,65452,en,English
122947,29064,en,English
122947,29064,it,Italiano
381396,10496,en,English
243598,16162,en,English
89188,15247,sq,shqip
89188,15247,en,English
391047,29251,en,English
5547,5548,en,English
5547,5549,en,English
645,699,el,ελληνικά
645,699,en,English
645,699,it,Italiano
645,709,en,English
645,709,es,Español
645,253,en,English
645,253,hu,Magyar
645,660,en,English
645,660,fr,Français
248339,11377,en,English
98036,18111,en,English
107725,16281,en,English
107725,16281,it,Italiano
107725,16288,en,English
98036,1694,en,English
98036,1694,de,Deutsch
212279,24831,en,English
398740,37853,en,English
48037,14035,en,English
48037,40771,en,English
48037,40772,en,English
48037,40773,en,English
34055,10228,ja,日本語
207952,11663,en,English
207952,11663,gd,
207952,11663,ga,Gaeilge
48188,9264,en,English
48188,18222,en,English
95051,20565,en,English
645,36643,en,English
645,36643,ru,Pусский
10194,863,en,English
359005,32669,en,English
95664,10402,en,English
135509,25188,en,English
321063,15515,en,English
99727,10137,en,English
55427,49948,en,English
43563,10471,en,English
421904,14919,cs,Český
421904,14919,en,English
103573,2005,en,English
103573,6279,en,English
8979,8872,cn,广州话 / 廣州話
8979,8872,en,English
8979,8873,cn,广州话 / 廣州話
8979,8873,en,English
192492,9869,en,English
9649,9367,es,Español
110179,16562,en,English
110179,16562,fr,Français
110179,16562,de,Deutsch
2602,4234,en,English
338282,9605,en,English
338282,9605,es,Español
87186,8374,en,English
87186,8374,es,Español
327598,25934,en,English
2794,2787,en,English
103577,2069,en,English
103577,2069,fr,Français
103577,2069,es,Español
93568,10839,de,Deutsch
93568,10839,en,English
93568,10839,fr,Français
93568,10839,ru,Pусский
124950,838,en,English
256377,11176,en,English
256377,11899,en,English
8864,9532,en,English
8864,9532,fr,Français
14377,13939,fr,Français
14377,13939,en,English
14377,13939,it,Italiano
14377,13939,de,Deutsch
14377,14373,en,English
14377,24873,en,English
14377,26263,en,English
14377,34746,en,English
1582,1498,fr,Français
1582,1498,en,English
1582,1497,en,English
1582,1499,en,English
36694,11690,en,English
119050,11520,en,English
387219,990,en,English
8647,11478,en,English
221966,11356,en,English
366826,17339,en,English
366826,17339,es,Español
338327,26879,en,English
170754,13665,en,English
466318,12309,en,English
466318,12309,ja,日本語
399,106,en,English
399,106,es,Español
86105,1359,en,English
86105,1359,es,Español
86105,1359,cn,广州话 / 廣州話
159616,10557,en,English
159616,10557,ru,Pусский
159616,10557,ur,اردو
104847,11977,en,English
9436,9456,en,English
9436,9456,de,Deutsch
351684,889,en,English
498,452,da,Dansk
256484,39283,en,English
256484,65460,en,English
256484,55667,en,English
175858,12476,en,English
127280,16395,it,Italiano
127280,16395,en,English
342009,5608,de,Deutsch
246839,10560,en,English
179244,5683,en,English
271668,14906,en,English
271668,14906,pt,Português
96679,9285,en,English
87359,955,en,English
59567,8584,en,English
59567,8584,zh,普通话
59567,8584,es,Español
645,668,en,English
645,668,de,Deutsch
645,691,en,English
645,691,it,Italiano
645,691,ar,العربية
645,698,en,English
645,698,it,Italiano
645,682,th,ภาษาไทย
645,682,cn,广州话 / 廣州話
645,682,en,English
44979,9600,en,English
252313,21,en,English
366826,10911,en,English
366826,10911,de,Deutsch
366826,10911,el,ελληνικά
123726,26912,en,English
123726,26278,en,English
107949,26953,en,English
107949,26954,en,English
107949,26954,it,Italiano
107949,26956,en,English
107949,26956,de,Deutsch
107949,26957,en,English
107949,26958,en,English
107949,26959,en,English
107949,26960,en,English
424830,23069,en,English
424830,21299,en,English
424830,38802,en,English
157671,21137,en,English
157671,36724,en,English
48317,938,it,Italiano
10456,10648,en,English
10456,10648,es,Español
109592,10246,en,English
109592,19698,en,English
109592,23919,en,English
263866,26554,en,English
32135,15239,en,English
32135,28165,en,English
32135,28165,ja,日本語
32135,28169,en,English
399,169,en,English
174245,10128,en,English
8945,9659,en,English
8945,8810,en,English
8945,9355,en,English
121195,10068,en,English
207447,11495,en,English
207447,11495,it,Italiano
495,482,en,English
495,479,en,English
495,479,es,Español
495,479,de,Deutsch
171439,9873,en,English
171439,16820,cs,Český
171439,16820,en,English
171439,16820,ru,Pусский
46512,15379,en,English
46512,15379,vi,Tiếng Việt
46512,12764,en,English
46512,12764,vi,Tiếng Việt
46512,27352,en,English
46512,27352,pt,Português
321063,17897,ar,العربية
321063,17897,en,English
159600,16094,en,English
159600,16096,en,English
173628,11822,de,Deutsch
495,494,en,English
495,493,en,English
4246,4247,en,English
748,36657,en,English
34055,12599,ja,日本語
34055,12599,en,English
321063,11940,en,English
86028,12107,en,English
166376,9383,en,English
47770,15158,en,English
47770,16139,en,English
47770,16146,en,English
123256,26515,en,English
47391,13567,en,English
123249,20850,en,English
123249,20850,de,Deutsch
223564,8843,en,English
374512,10643,ja,日本語
37139,37136,en,English
37139,37137,en,English
25410,11398,en,English
430186,1588,en,English
8050,12211,en,English
8050,12211,fr,Français
8050,12211,gd,
8412,1698,de,Deutsch
8412,1698,la,Latin
52760,12212,en,English
498,16,en,English
8917,9003,en,English
8917,9064,en,English
8917,11569,en,English
338327,26484,en,English
338327,39113,en,English
123213,38126,en,English
123213,38126,fr,Français
338327,53617,en,English
221537,10973,en,English
259401,10787,en,English
138971,27475,en,English
138971,27764,en,English
138971,27767,en,English
138974,40760,en,English
138974,40446,en,English
39244,20455,de,Deutsch
39244,20455,en,English
51509,1597,en,English
240690,21142,en,English
240690,78140,en,English
44913,18498,en,English
44913,28605,en,English
12203,12207,cn,广州话 / 廣州話
64750,11531,en,English
86029,4327,en,English
86029,4327,de,Deutsch
86029,4327,fi,suomi
86029,4327,ja,日本語
86029,4327,cn,广州话 / 廣州話
645,681,en,English
645,681,de,Deutsch
57129,16340,en,English
124916,10481,en,English
290973,146,zh,普通话
106498,11849,en,English
106498,11849,pl,Polski
645,708,en,English
645,708,ar,العربية
645,708,fr,Français
645,708,de,Deutsch
645,708,ru,Pусский
645,708,cs,Český
645,708,sk,Slovenčina
52783,10673,en,English
178117,11688,en,English
93220,1493,en,English
93220,1493,es,Español
93220,1493,fr,Français
93220,1493,ru,Pусский
115822,10577,en,English
312735,15739,en,English
107469,9816,en,English
85861,96,en,English
85861,90,en,English
141282,19933,nl,Nederlands
141282,19933,en,English
141282,19933,pl,Polski
330555,18935,en,English
1960,764,en,English
2366,580,en,English
109076,1547,en,English
124951,10019,en,English
109082,37302,en,English
287016,843,cn,广州话 / 廣州話
287016,843,fr,Français
287016,843,es,Español
9743,9740,en,English
421084,19405,en,English
366444,43332,en,English
116847,17965,en,English
9743,11454,en,English
48190,14052,en,English
48190,16889,en,English
257571,23730,en,English
86486,10054,es,Español
86486,10054,en,English
142680,2043,en,English
142680,2043,ru,Pусский
52888,56715,en,English
52888,56715,fr,Français
34055,10991,en,English
8936,634,en,English
353325,10956,en,English
9332,9290,en,English
1733,1734,en,English
1733,1734,ar,العربية
2150,808,en,English
150156,1406,en,English
150156,1406,de,Deutsch
441439,41050,it,Italiano
110021,966,en,English
110021,966,es,Español
110021,12639,en,English
110021,12639,es,Español
100965,10865,en,English
100965,10865,fr,Français
100965,10865,es,Español
2467,1995,en,English
3169,10808,en,English
9485,9799,en,English
3963,60670,fr,Français
87014,10992,en,English
87014,10992,fr,Français
87014,10992,de,Deutsch
87014,10992,th,ภาษาไทย
4246,4248,en,English
338327,26483,en,English
421566,24382,it,Italiano
101688,11286,ja,日本語
101688,11286,zh,普通话
101688,11286,ar,العربية
101688,11286,en,English
101688,11950,en,English
101688,12236,en,English
101688,12236,de,Deutsch
427956,26573,en,English
33071,20075,en,English
33071,20197,en,English
127280,11906,en,English
127280,11906,it,Italiano
127280,11906,la,Latin
127280,11906,ru,Pусский
140760,2114,en,English
86024,8835,en,English
170754,26044,en,English
179244,30502,en,English
104847,18509,en,English
10893,3980,en,English
10893,10127,en,English
10893,12702,en,English
10456,10651,en,English
182617,5680,en,English
330555,26386,en,English
174218,38500,en,English
174218,38500,de,Deutsch
19163,12144,en,English
101471,24929,en,English
101471,10925,en,English
89272,13965,en,English
89272,24266,en,English
86347,11966,en,English
86347,2605,en,English
182923,41428,ja,日本語
126220,29095,en,English
91945,12500,en,English
91945,25678,en,English
91945,25682,en,English
153948,32049,en,English
91746,1648,en,English
91746,1648,fr,Français
91746,1648,de,Deutsch
91746,1648,el,ελληνικά
257571,53150,en,English
98853,10134,en,English
351230,15142,en,English
186102,25005,en,English
186102,21721,en,English
88735,10345,en,English
105322,10222,en,English
9521,9494,en,English
97771,9942,en,English
328,331,en,English
328,331,es,Español
87228,19142,en,English
87631,41946,en,English
224976,10135,en,English
224976,10135,pt,Português
138706,30666,en,English
138706,25155,en,English
87536,11342,en,English
87536,24126,en,English
118221,8494,en,English
104716,27813,en,English
107674,9880,en,English
90863,5175,cn,广州话 / 廣州話
90863,5175,en,English
90863,5175,zh,普通话
239968,4484,fr,Français
239968,11684,fr,Français
239968,11684,de,Deutsch
168182,17169,en,English
2806,2770,en,English
94899,8922,en,English
71458,16314,en,English
71458,16314,de,Deutsch
71458,16314,it,Italiano
71458,18885,en,English
71458,18885,fr,Français
71458,40508,en,English
122947,30379,en,English
383632,35200,en,English
352789,9398,en,English
166378,10866,en,English
41649,166,fr,Français
33071,13612,en,English
10456,984,es,Español
10456,984,en,English
178106,141,en,English
137696,585,en,English
276838,45964,en,English
1241,671,en,English
449750,16085,en,English
106000,16441,en,English
89188,34388,en,English
89188,34388,de,Deutsch
89188,34388,hu,Magyar
284024,37835,en,English
211753,26398,en,English
10456,10649,en,English
211753,27591,en,English
10456,10650,en,English
98513,8007,cs,Český
98513,8007,en,English
98513,8007,es,Español
98513,8007,sh,
304,161,it,Italiano
304,161,en,English
91746,1649,en,English
119,120,en,English
476056,12593,en,English
476056,14683,en,English
395591,45491,cn,广州话 / 廣州話
93295,11595,cn,广州话 / 廣州話
93295,11595,en,English
43055,9610,en,English
93295,150,en,English
87214,11528,en,English
87214,11528,fr,Français
55422,16690,en,English
449462,39939,en,English
449750,39282,en,English
262011,993,en,English
217704,11979,en,English
124879,25006,de,Deutsch
124879,25006,en,English
215326,23479,en,English
215326,23479,es,Español
215326,66946,en,English
215326,19050,en,English
460292,108266,en,English
460292,108267,en,English
122952,15999,ja,日本語
19160,13225,en,English
133923,7219,en,English
133923,7219,it,Italiano
108669,26200,en,English
221308,38147,en,English
221308,24032,en,English
8354,425,en,English
17255,1576,en,English
456980,17804,en,English
456980,17804,de,Deutsch
135441,31805,en,English
135441,13861,en,English
135441,13861,eo,Esperanto
135441,29021,en,English
135441,31812,en,English
104068,28213,fr,Français
87220,12705,en,English
87220,12705,es,Español
87220,11006,en,English
87220,15120,cs,Český
87220,15120,en,English
87220,15120,hu,Magyar
87220,15120,es,Español
112537,16026,sv,svenska
735,36586,cs,Český
735,36586,ro,Română
735,36586,en,English
43220,11452,en,English
261526,11590,en,English
389767,8346,el,ελληνικά
389767,8346,en,English
256729,307,de,Deutsch
256729,307,it,Italiano
47983,15482,en,English
406817,45878,en,English
107688,12154,en,English
107688,12154,fr,Français
107688,12154,ru,Pусский
107688,11630,en,English
107688,11630,fr,Français
116669,9334,en,English
116669,9334,th,ภาษาไทย
9735,11470,en,English
5202,5203,en,English
5202,5203,pt,Português
556,557,en,English
178654,12227,en,English
178654,43643,en,English
10,1894,en,English
168182,15417,en,English
192492,4614,ar,العربية
192492,4614,en,English
192492,4614,ru,Pусский
192492,4614,uk,Український
192492,4614,de,Deutsch
31562,2501,en,English
31562,2501,fr,Français
31562,2501,de,Deutsch
31562,2501,nl,Nederlands
31562,2501,it,Italiano
86860,9637,en,English
33071,14774,en,English
33071,14774,de,Deutsch
97461,11544,en,English
9521,11982,en,English
363014,21972,en,English
86055,608,en,English
91361,11442,en,English
99727,10996,en,English
1006,818,en,English
1006,818,ja,日本語
1006,818,de,Deutsch
1006,818,fr,Français
167456,24130,en,English
113635,36645,ar,العربية
113635,36645,nl,Nederlands
113635,36645,en,English
113635,36645,fr,Français
113635,36645,de,Deutsch
113635,36645,it,Italiano
167456,23728,en,English
167456,23728,it,Italiano
86486,9488,en,English
52785,7451,cs,Český
52785,7451,en,English
52785,7451,de,Deutsch
52785,7451,es,Español
52785,7451,ru,Pусский
356437,34070,sv,svenska
115839,9266,en,English
117777,15070,en,English
363966,11243,en,English
363966,11243,fr,Français
363966,19975,en,English
52988,9595,en,English
135501,24038,en,English
123720,3127,en,English
123720,3127,la,Latin
162028,10859,en,English
176097,10611,en,English
9518,4108,en,English
9518,4108,fr,Français
9518,4108,zh,普通话
330555,18943,en,English
330555,32685,en,English
267922,18477,en,English
267922,12262,en,English
9743,9533,en,English
277739,10575,en,English
277739,10575,it,Italiano
374509,1682,ja,日本語
374509,39462,ja,日本語
374509,18983,en,English
173344,24348,en,English
173344,24348,es,Español
135509,82545,en,English
330555,34600,en,English
330555,39128,en,English
123724,11868,en,English
386818,10772,it,Italiano
386818,77079,en,English
386818,77079,it,Italiano
386818,77079,es,Español
34055,12600,ja,日本語
14563,565,en,English
173344,21925,en,English
9735,10285,en,English
288280,11009,en,English
288280,11009,it,Italiano
288280,10805,en,English
288280,10805,es,Español
457305,225,pl,Polski
